,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
109,Jamal Cain,PF,24,MIA,14,1,14.9,2.1,4.7,.439,0.6,1.8,.320,1.5,2.9,.512,.500,1.0,1.4,.737,0.9,1.2,2.1,0.2,0.6,0.3,0.3,1.1,5.7
110,Kentavious Caldwell-Pope,SG,30,DEN,50,50,31.9,3.5,7.9,.443,1.4,3.8,.379,2.0,4.1,.502,.534,1.6,1.8,.921,0.4,1.9,2.3,2.3,1.3,0.5,1.0,1.9,10.0
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Toumani Camara,PF,23,POR,51,31,23.8,2.5,6.0,.420,0.7,2.5,.291,1.8,3.5,.511,.480,1.0,1.4,.718,1.8,2.9,4.8,1.0,1.0,0.5,1.2,2.5,6.8
113,Clint Capela,C,29,ATL,47,47,25.7,4.8,8.4,.575,0.0,0.0,,4.8,8.4,.575,.575,1.8,2.8,.649,4.8,5.8,10.6,1.0,0.6,1.5,0.9,2.4,11.5
114,Jevon Carter,PG,28,CHI,51,0,13.8,2.0,5.4,.374,1.2,3.5,.341,0.8,1.9,.433,.484,0.1,0.1,.600,0.1,0.6,0.7,1.2,0.5,0.2,0.5,1.1,5.2
115,Wendell Carter Jr.,C,24,ORL,27,21,26.1,4.0,7.7,.522,1.2,2.9,.416,2.8,4.8,.585,.599,1.9,2.7,.722,1.9,4.7,6.5,1.6,0.5,0.5,1.1,2.3,11.1
116,Alex Caruso,SG,29,CHI,46,34,27.1,3.4,7.1,.482,1.7,4.3,.399,1.7,2.8,.608,.602,1.2,1.5,.775,1.0,2.8,3.8,2.8,1.3,1.2,1.4,2.5,9.8
117,Colin Castleton,C,23,LAL,5,0,6.4,1.2,1.8,.667,0.0,0.0,,1.2,1.8,.667,.667,0.8,0.8,1.000,0.8,1.0,1.8,0.6,0.0,0.0,0.2,1.2,3.2
118,Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Julian Champagnie,SF,22,SAS,47,32,16.5,1.9,4.7,.396,1.3,3.4,.369,0.6,1.3,.468,.529,0.8,1.0,.822,0.5,1.9,2.4,1.1,0.6,0.6,0.7,1.1,5.8
120,Max Christie,SG,20,LAL,43,7,17.2,1.8,4.3,.422,0.7,2.1,.356,1.1,2.2,.484,.508,0.7,0.9,.784,0.2,2.4,2.6,1.0,0.4,0.3,0.7,1.2,5.0
121,Sidy Cissoko,SF,19,SAS,5,0,6.4,0.2,1.2,.167,0.0,0.8,.000,0.2,0.4,.500,.167,0.8,0.8,1.000,0.0,1.2,1.2,0.0,0.6,0.0,0.2,0.4,1.2
122,Jordan Clarkson,SG,31,UTA,44,19,30.0,6.2,15.0,.415,1.7,5.6,.298,4.5,9.3,.485,.471,3.3,3.7,.878,1.0,2.4,3.4,4.8,0.6,0.1,2.7,1.4,17.4
123,Nic Claxton,C,24,BRK,42,42,29.6,5.4,8.7,.625,0.0,0.1,.250,5.4,8.6,.629,.626,1.5,2.6,.573,3.0,7.3,10.3,1.9,0.7,2.3,1.2,2.5,12.4
124,Noah Clowney,PF,19,BRK,6,0,10.2,1.8,3.0,.611,0.2,0.7,.250,1.7,2.3,.714,.639,1.0,1.0,1.000,1.0,1.0,2.0,0.7,0.0,0.2,0.5,0.8,4.8
125,Amir Coffey,SF,26,LAC,40,7,17.8,2.2,3.9,.561,0.9,1.9,.447,1.3,2.0,.671,.671,0.9,1.1,.881,0.3,1.3,1.6,0.8,0.5,0.2,0.4,1.3,6.1
126,John Collins,PF,26,UTA,50,48,27.8,5.6,10.8,.522,1.2,3.5,.341,4.5,7.3,.608,.577,1.9,2.4,.790,2.2,5.9,8.1,1.1,0.6,0.8,1.4,2.7,14.3
127,Zach Collins,C,26,SAS,42,24,24.3,4.4,9.3,.478,0.9,3.1,.275,3.6,6.1,.581,.524,1.9,2.4,.782,1.7,3.6,5.4,3.1,0.5,0.7,2.1,3.3,11.6
128,Mike Conley,PG,36,MIN,48,48,29.1,3.6,8.0,.446,2.3,5.2,.446,1.3,2.8,.444,.591,1.1,1.2,.915,0.3,2.5,2.8,6.5,1.0,0.2,1.1,1.7,10.6
129,Pat Connaughton,SF,31,MIL,48,2,21.2,1.9,4.1,.462,1.1,2.9,.390,0.8,1.2,.638,.601,0.4,0.6,.690,0.6,2.6,3.2,2.0,0.5,0.2,0.6,1.3,5.4
130,Bilal Coulibaly,SF,19,WAS,52,4,26.9,3.0,6.7,.443,1.0,2.8,.368,2.0,4.0,.495,.519,1.4,2.0,.702,0.9,3.2,4.1,1.8,0.8,0.8,1.4,2.1,8.4
131,Ricky Council IV,SG,22,PHI,13,0,8.9,1.8,3.8,.490,0.2,0.8,.300,1.6,3.0,.538,.520,2.4,3.1,.775,0.8,1.2,1.9,0.2,0.2,0.0,0.1,0.5,6.3
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Robert Covington,SF-PF,33,TOT,29,6,16.8,1.5,3.4,.439,0.7,1.9,.339,0.8,1.4,.571,.536,0.8,0.9,.846,1.1,2.3,3.3,0.8,1.3,0.6,0.4,1.9,4.4
134,Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,.333,0.7,2.7,.250,0.3,0.3,1.000,.444,0.3,0.7,.500,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0
135,Robert Covington,SF,33,PHI,26,3,16.1,1.5,3.4,.449,0.7,1.8,.354,0.9,1.6,.561,.545,0.8,0.9,.875,1.1,2.3,3.4,0.7,1.3,0.6,0.4,1.9,4.5
136,Torrey Craig,SF,33,CHI,32,8,21.0,2.1,5.0,.422,1.1,2.9,.372,1.0,2.1,.493,.531,0.7,0.8,.778,1.7,3.0,4.7,1.1,0.6,0.4,0.6,2.3,6.0
137,Jae Crowder,PF,33,MIL,23,7,25.0,2.6,5.9,.434,1.5,3.9,.378,1.1,2.0,.543,.559,0.7,1.0,.667,0.4,2.9,3.3,1.7,0.8,0.2,0.4,1.7,7.3
138,Cade Cunningham,PG,22,DET,42,42,34.4,8.4,18.6,.450,1.8,5.3,.339,6.6,13.4,.493,.497,3.8,4.5,.861,0.4,3.6,4.0,7.5,1.0,0.3,3.6,2.7,22.4
139,Seth Curry,SG,33,TOT,38,3,13.1,1.6,4.2,.390,0.8,2.3,.364,0.8,1.9,.423,.491,0.5,0.6,.905,0.4,1.1,1.5,0.9,0.5,0.1,0.4,0.8,4.6
140,Seth Curry,SG,33,DAL,36,3,12.7,1.5,4.0,.372,0.8,2.2,.363,0.7,1.8,.385,.472,0.5,0.5,.895,0.4,1.0,1.4,0.8,0.5,0.1,0.4,0.9,4.3
141,Seth Curry,SG,33,CHO,2,0,19.5,4.0,7.0,.571,1.5,4.0,.375,2.5,3.0,.833,.679,1.0,1.0,1.000,0.5,1.5,2.0,1.5,1.5,0.5,0.5,0.0,10.5
142,Stephen Curry,PG,35,GSW,48,48,33.4,9.1,19.7,.464,5.0,11.9,.421,4.1,7.8,.530,.592,4.7,5.1,.927,0.5,4.0,4.4,4.9,0.8,0.4,3.0,1.8,28.0
143,Dyson Daniels,PG,20,NOP,52,15,21.9,2.2,4.9,.438,0.6,2.1,.291,1.5,2.8,.548,.500,0.6,1.0,.640,1.0,2.7,3.7,2.6,1.4,0.4,1.0,1.6,5.5
144,Anthony Davis,C,30,LAL,50,50,35.8,9.5,17.1,.554,0.3,1.2,.279,9.1,15.9,.576,.564,5.4,6.7,.807,3.0,9.0,12.1,3.9,1.2,2.4,2.1,2.4,24.7
145,Johnny Davis,SG,21,WAS,23,0,8.0,1.0,2.6,.407,0.1,0.3,.286,1.0,2.3,.423,.424,0.2,0.3,.571,0.4,0.5,0.9,0.3,0.3,0.1,0.3,0.6,2.3
146,JD Davison,SG,21,BOS,2,0,3.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,1.0,1.0,1.000,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
147,Dexter Dennis,SG,24,DAL,4,0,7.5,2.5,4.8,.526,0.3,2.0,.125,2.3,2.8,.818,.553,0.3,0.8,.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5
148,DeMar DeRozan,SF,34,CHI,52,52,37.6,7.8,16.6,.470,0.9,2.8,.336,6.9,13.8,.497,.498,6.1,7.2,.852,0.6,3.5,4.1,5.2,1.2,0.6,1.5,2.2,22.7
149,Moussa Diabaté,C,22,LAC,10,0,5.8,0.9,1.8,.500,0.0,0.0,,0.9,1.8,.500,.500,0.9,1.2,.750,1.4,0.6,2.0,0.4,0.4,0.0,0.2,0.4,2.7
150,Mamadi Diakite,PF,27,SAS,3,0,5.3,1.3,1.7,.800,0.0,0.0,,1.3,1.7,.800,.800,1.3,2.0,.667,0.3,0.7,1.0,0.7,0.0,0.3,0.0,0.3,4.0
151,Hamidou Diallo,SG,25,WAS,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,1.0
152,Gradey Dick,SG,20,TOR,33,1,15.1,1.8,4.6,.401,1.0,2.8,.362,0.8,1.8,.466,.513,0.7,0.8,.920,0.4,1.2,1.7,1.2,0.5,0.0,0.6,1.4,5.4
153,Ousmane Dieng,PF,20,OKC,28,0,11.3,1.5,3.5,.434,0.7,2.2,.323,0.8,1.3,.622,.535,0.4,0.5,.857,0.3,1.4,1.7,1.0,0.1,0.1,0.5,0.6,4.2
154,Spencer Dinwiddie,PG,30,BRK,48,48,30.7,4.1,10.4,.391,1.9,5.8,.320,2.2,4.6,.480,.480,2.6,3.3,.781,0.5,2.8,3.3,6.0,0.8,0.2,1.3,1.8,12.6
155,Donte DiVincenzo,SG,27,NYK,54,36,25.0,4.8,10.6,.458,3.0,7.3,.415,1.8,3.2,.554,.602,0.9,1.3,.729,0.7,2.5,3.3,2.5,1.2,0.3,1.2,1.9,13.6
156,Luka Dončić,PG,24,DAL,46,46,37.6,11.5,23.5,.491,3.9,10.3,.379,7.6,13.2,.578,.574,7.3,9.5,.775,0.8,8.1,8.8,9.6,1.4,0.6,3.9,2.0,34.3
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Luguentz Dort,SF,24,OKC,51,51,28.4,3.6,8.2,.437,1.9,4.8,.389,1.7,3.4,.506,.551,1.6,2.0,.814,1.1,2.7,3.8,1.3,0.8,0.7,0.9,3.0,10.7
159,Ayo Dosunmu,SG,24,CHI,52,13,25.3,3.9,7.8,.507,1.3,3.2,.411,2.6,4.5,.576,.593,0.9,1.2,.767,0.6,1.9,2.5,2.3,0.8,0.5,1.1,2.1,10.1
160,Andre Drummond,C,30,CHI,54,8,16.5,3.3,5.9,.560,0.0,0.1,.000,3.3,5.8,.565,.560,1.4,2.6,.549,3.4,5.2,8.5,0.5,1.1,0.6,1.1,1.7,8.0
161,Chris Duarte,SF,26,SAC,36,11,12.9,1.3,3.5,.362,0.6,1.9,.319,0.7,1.6,.414,.449,0.6,0.7,.769,0.4,1.4,1.8,0.9,0.5,0.1,0.6,1.7,3.7
162,Kris Dunn,PG,29,UTA,46,27,17.9,2.2,4.6,.465,0.6,1.6,.403,1.5,3.1,.496,.533,0.3,0.4,.650,0.7,2.2,2.9,4.2,1.0,0.5,1.3,1.8,5.2
163,Kevin Durant,PF,35,PHO,46,46,37.1,10.3,19.2,.535,2.3,5.1,.445,8.0,14.0,.568,.595,5.5,6.3,.872,0.5,6.0,6.5,5.7,0.9,1.3,3.2,1.8,28.3
164,Jalen Duren,C,20,DET,37,36,30.4,6.3,9.8,.641,0.0,0.1,.000,6.3,9.7,.646,.641,1.8,2.4,.742,3.4,8.8,12.2,2.5,0.4,0.8,2.0,3.3,14.3
165,Tari Eason,PF,22,HOU,22,0,21.8,4.0,8.6,.466,0.8,2.3,.360,3.2,6.3,.504,.513,1.0,1.5,.636,2.1,4.9,7.0,1.2,1.4,0.9,0.9,2.3,9.8
166,Anthony Edwards,SG,22,MIN,50,50,35.0,8.9,19.1,.465,2.5,6.6,.383,6.4,12.5,.509,.531,5.5,6.5,.837,0.6,4.7,5.2,5.3,1.2,0.5,3.3,2.0,25.8
167,Kessler Edwards,SF,23,SAC,35,0,5.0,0.6,1.5,.412,0.3,0.9,.364,0.3,0.5,.500,.529,0.1,0.1,.750,0.1,0.6,0.8,0.3,0.1,0.1,0.0,0.4,1.6
168,Keon Ellis,SG,24,SAC,31,3,11.9,1.2,2.8,.432,0.9,2.3,.375,0.4,0.5,.688,.585,0.4,0.5,.647,0.3,1.0,1.3,1.2,0.5,0.4,0.5,1.4,3.7
169,Joel Embiid,C,29,PHI,34,34,34.0,11.8,22.2,.533,1.2,3.3,.366,10.6,18.9,.562,.560,10.5,11.9,.883,2.6,8.7,11.3,5.7,1.1,1.8,3.7,2.9,35.3
170,Drew Eubanks,C,26,PHO,47,3,16.2,2.3,3.6,.635,0.1,0.1,1.000,2.2,3.6,.629,.644,1.1,1.4,.735,1.3,3.0,4.3,1.0,0.4,0.8,1.0,1.7,5.7
171,Tosan Evbuomwan,SF,22,MEM,4,0,18.5,1.0,3.8,.267,0.5,2.0,.250,0.5,1.8,.286,.333,0.0,0.0,,2.0,1.5,3.5,1.5,0.0,0.3,0.3,1.3,2.5
172,Dante Exum,PG,28,DAL,32,14,19.7,3.6,6.3,.571,1.0,2.0,.477,2.7,4.3,.616,.648,1.0,1.4,.727,0.6,2.2,2.8,2.8,0.6,0.2,0.8,1.6,9.2
173,Bruno Fernando,C,25,ATL,17,0,8.0,1.5,2.7,.543,0.0,0.2,.000,1.5,2.5,.581,.543,0.9,1.6,.571,0.8,1.8,2.6,0.4,0.1,0.5,0.5,1.2,3.9
174,Dorian Finney-Smith,PF,30,BRK,43,32,28.7,3.3,8.0,.410,2.1,5.4,.380,1.2,2.6,.473,.539,0.3,0.5,.636,1.7,3.1,4.8,1.5,0.7,0.6,0.8,2.3,9.0
175,Malachi Flynn,PG,25,TOT,45,0,11.9,1.4,3.6,.406,0.7,2.1,.344,0.7,1.5,.493,.506,0.6,0.7,.788,0.3,1.3,1.6,1.8,0.4,0.1,0.8,1.0,4.2
176,Malachi Flynn,PG,25,TOR,31,0,15.3,1.8,4.4,.409,0.9,2.6,.350,0.9,1.8,.491,.511,0.5,0.7,.773,0.4,1.7,2.1,2.4,0.6,0.2,1.1,1.4,5.1
177,Malachi Flynn,PG,25,NYK,14,0,4.3,0.6,1.6,.391,0.3,0.9,.308,0.4,0.7,.500,.478,0.6,0.8,.818,0.0,0.4,0.4,0.4,0.1,0.0,0.2,0.2,2.2
178,Simone Fontecchio,SF,28,TOT,51,34,23.4,3.3,7.4,.448,1.8,4.7,.388,1.5,2.6,.556,.573,0.6,0.8,.805,1.1,2.6,3.6,1.5,0.6,0.4,1.0,1.6,9.1
179,Simone Fontecchio,SF,28,UTA,50,34,23.2,3.2,7.2,.450,1.8,4.7,.391,1.4,2.5,.560,.577,0.6,0.8,.800,1.0,2.5,3.5,1.5,0.6,0.4,1.0,1.6,8.9
180,Simone Fontecchio,SF,28,DET,1,0,32.0,8.0,19.0,.421,3.0,9.0,.333,5.0,10.0,.500,.500,1.0,1.0,1.000,2.0,7.0,9.0,1.0,1.0,0.0,1.0,1.0,20.0
181,Jordan Ford,PG,25,SAC,6,0,3.7,0.7,1.2,.571,0.3,0.5,.667,0.3,0.7,.500,.714,0.3,0.3,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Trent Forrest,SG,25,ATL,20,0,10.5,0.8,2.4,.319,0.1,0.4,.286,0.7,2.0,.325,.340,0.4,0.5,.800,0.3,1.1,1.3,2.1,0.4,0.1,0.6,0.9,2.0
184,Evan Fournier,SG,31,NYK,3,0,13.0,1.3,6.7,.200,0.7,5.0,.133,0.7,1.7,.400,.250,0.7,0.7,1.000,0.0,1.3,1.3,1.0,1.3,0.0,0.3,1.3,4.0
185,De'Aaron Fox,PG,26,SAC,46,46,35.3,9.5,20.3,.465,2.9,7.7,.376,6.5,12.6,.519,.536,4.6,6.5,.707,0.8,3.1,3.9,5.4,1.8,0.4,2.5,2.6,26.4
186,Javon Freeman-Liberty,PG,24,TOR,2,0,2.0,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0
187,Alex Fudge,SF,20,LAL,4,0,3.5,0.3,1.5,.167,0.0,0.5,.000,0.3,1.0,.250,.167,0.5,0.5,1.000,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0
188,Markelle Fultz,PG,25,ORL,20,14,24.3,4.1,8.2,.494,0.1,0.4,.143,4.0,7.9,.510,.497,0.5,0.8,.563,1.3,2.1,3.4,3.7,1.4,0.4,1.2,1.8,8.6
189,Daniel Gafford,C-PF,25,TOT,47,46,26.2,4.6,6.8,.682,0.0,0.0,,4.6,6.8,.682,.682,1.9,2.7,.711,3.0,5.2,8.2,1.5,1.0,2.2,1.0,3.2,11.2
190,Daniel Gafford,C,25,WAS,45,45,26.5,4.5,6.5,.690,0.0,0.0,,4.5,6.5,.690,.690,1.9,2.6,.706,2.9,5.1,8.0,1.5,1.0,2.2,1.0,3.3,10.9
191,Daniel Gafford,PF,25,DAL,2,1,20.5,7.0,12.0,.583,0.0,0.0,,7.0,12.0,.583,.583,3.5,4.5,.778,5.5,7.5,13.0,1.0,1.0,3.0,1.0,1.0,17.5
192,Danilo Gallinari,PF-SF,35,TOT,32,0,14.8,2.2,4.8,.451,0.8,2.4,.355,1.3,2.4,.545,.539,2.1,2.5,.850,0.4,2.4,2.8,1.3,0.3,0.2,0.4,1.1,7.3
193,Danilo Gallinari,PF,35,WAS,26,0,14.8,2.2,5.0,.435,0.8,2.5,.313,1.4,2.6,.552,.511,1.8,2.2,.839,0.5,2.5,2.9,1.2,0.2,0.1,0.5,1.0,7.0
194,Danilo Gallinari,SF,35,DET,6,0,15.0,2.0,3.7,.545,1.2,2.0,.583,0.8,1.7,.500,.705,3.5,4.0,.875,0.3,2.0,2.3,2.0,0.3,0.3,0.2,1.5,8.7
195,Darius Garland,PG,24,CLE,28,28,31.9,6.8,14.4,.473,1.6,5.0,.329,5.1,9.4,.550,.530,3.2,3.8,.857,0.5,1.8,2.3,5.9,1.4,0.1,3.3,1.3,18.4
196,Usman Garuba,PF,21,GSW,2,0,3.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0
197,Luka Garza,C,25,MIN,12,0,3.0,0.8,1.9,.435,0.2,0.6,.286,0.7,1.3,.500,.478,0.5,0.8,.600,0.4,0.4,0.8,0.2,0.0,0.0,0.2,0.8,2.3
198,Kaiser Gates,SF,27,NOP,1,0,7.0,0.0,4.0,.000,0.0,2.0,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
199,Keyonte George,PG,20,UTA,48,17,24.4,3.5,9.3,.382,1.7,5.2,.329,1.8,4.1,.449,.474,2.4,2.9,.821,0.3,2.5,2.8,4.2,0.4,0.1,2.0,1.0,11.2
200,Paul George,PF,33,LAC,49,49,33.7,7.9,17.2,.457,3.3,8.3,.397,4.6,8.9,.514,.553,3.4,3.7,.912,0.6,4.8,5.3,3.6,1.6,0.4,2.0,2.9,22.4
201,Taj Gibson,PF,38,NYK,15,1,10.4,0.5,1.5,.304,0.0,0.4,.000,0.5,1.1,.412,.304,0.1,0.1,1.000,0.7,1.2,1.9,0.6,0.1,0.4,0.3,1.9,1.1
202,Josh Giddey,SG,21,OKC,52,52,24.9,4.6,10.4,.445,1.0,3.0,.331,3.7,7.5,.490,.492,1.2,1.5,.831,1.4,4.8,6.1,4.5,0.7,0.5,2.0,1.3,11.5
203,Harry Giles,C,25,BRK,16,0,5.1,1.4,2.8,.500,0.2,0.7,.273,1.2,2.1,.576,.534,0.4,0.8,.538,0.8,0.9,1.6,0.4,0.1,0.2,0.4,0.9,3.4
204,Shai Gilgeous-Alexander,PG,25,OKC,52,52,34.6,10.9,20.0,.548,1.2,3.3,.368,9.7,16.6,.584,.578,8.0,9.0,.883,0.9,4.7,5.6,6.6,2.2,0.9,2.2,2.5,31.1
205,Anthony Gill,PF,31,WAS,29,0,5.6,0.8,1.6,.489,0.1,0.4,.250,0.7,1.2,.571,.521,0.4,0.6,.750,0.4,0.8,1.3,0.4,0.2,0.2,0.5,0.4,2.1
206,Collin Gillespie,PG,24,DEN,17,0,7.0,0.9,1.8,.484,0.4,1.1,.333,0.5,0.8,.692,.581,0.3,0.4,.714,0.1,0.4,0.4,0.6,0.4,0.0,0.5,0.8,2.4
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Jacob Gilyard,PG,25,MEM,36,14,17.8,1.7,3.9,.426,1.4,3.3,.429,0.3,0.6,.409,.606,0.1,0.1,1.000,0.2,0.9,1.2,3.5,0.7,0.1,0.8,1.0,4.8
209,Rudy Gobert,C,31,MIN,52,52,33.4,5.2,8.0,.648,0.0,0.0,.000,5.2,7.9,.651,.648,3.4,5.3,.646,3.5,9.0,12.5,1.2,0.6,2.1,1.5,3.0,13.8
210,Jordan Goodwin,PG,25,PHO,40,0,14.0,1.9,4.8,.389,0.6,2.0,.288,1.3,2.8,.460,.448,0.6,0.7,.862,1.0,1.9,2.9,2.0,0.6,0.2,0.7,1.1,5.0
211,Aaron Gordon,PF,28,DEN,48,48,31.7,5.4,9.9,.545,0.6,1.9,.311,4.8,8.0,.601,.575,2.3,3.6,.624,2.5,4.0,6.5,3.1,0.8,0.7,1.3,1.9,13.6
212,Eric Gordon,SG,35,PHO,45,21,29.8,4.5,9.9,.459,2.4,6.3,.387,2.1,3.6,.588,.583,0.8,1.0,.800,0.3,1.8,2.1,2.2,0.9,0.5,1.3,1.3,12.3
213,Devonte' Graham,PG,28,SAS,11,0,8.5,1.0,2.6,.379,0.6,1.9,.333,0.4,0.7,.500,.500,0.5,0.7,.750,0.2,1.2,1.4,1.7,0.3,0.1,0.3,0.4,3.2
214,Jerami Grant,PF,29,POR,45,45,34.0,7.4,16.1,.461,2.1,5.2,.405,5.3,11.0,.487,.526,5.0,6.2,.809,0.7,3.1,3.8,2.7,0.7,0.7,2.0,2.2,21.9
215,A.J. Green,SG,24,MIL,34,0,9.0,1.4,3.2,.445,1.2,2.8,.427,0.2,0.4,.571,.632,0.2,0.2,1.000,0.2,0.8,1.0,0.6,0.0,0.0,0.1,0.9,4.3
216,Danny Green,SG,36,PHI,2,0,9.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0
217,Draymond Green,PF,33,GSW,27,24,26.7,3.5,6.8,.511,1.0,2.6,.406,2.4,4.3,.574,.587,1.2,1.6,.786,1.3,5.3,6.6,6.2,0.7,0.9,2.6,3.1,9.2
218,Jalen Green,SG,21,HOU,53,53,30.8,6.3,15.2,.412,2.0,6.6,.310,4.2,8.7,.489,.479,3.7,4.6,.802,0.4,4.5,4.9,3.4,0.7,0.3,2.2,1.3,18.3
219,Jeff Green,PF,37,HOU,51,5,16.9,2.0,4.2,.484,0.4,1.5,.297,1.6,2.7,.583,.535,1.8,2.2,.820,0.6,1.6,2.2,0.8,0.2,0.5,0.7,1.5,6.3
